"ID","LStatus","LMaturityDate","LSignDate","LInstallment","LAmount","ABirthDate","AGender","AMaritalStatus","AOccupation","AEducation","AIncome","ANumberChildren","AHousing","GCollateralAmount","GCollateralType","GGuarantorNumber","Age"
"AD10000001","0","20141031","19990910",2000,1e+05,"18570101","F","2","7","2",NA,2,"4",0,"1",2,41.7679378183013
"AD10000002","0","20150331","19991210",1250,62500,"18570101","F","1","7","2",NA,0,"5",0,"1",2,41.7679378183013
"AD10000003","0","20211031","20010610",9900,950000,"18570101","M","2","7","1",NA,0,"5",0,"1",2,41.7679378183013
"AD10000004","0","20181031","20010702",12560,1e+06,"18570101","M","2","7","2",NA,0,"4",0,"1",3,41.7679378183013
"AD10000005","0","20121031","20010702",1600,50000,"18570101","M","2","7","1",NA,0,"1",0,"1",3,41.7679378183013
"AD10000006","0","20241231","20010719",8140,9e+05,"19770420","M","2","1","2",37100,1,"1",0,"1",2,24.25
"AD10000007","0","20141130","20010723",3580,2e+05,"19610310","F","2","1","2",46400,2,"2",0,"1",5,40.3333333333333
"AD10000008","0","20170228","20010804",11400,8e+05,"19570612","M","2","1","2",48200,4,"4",0,"1",2,44.1666666666667
"AD10000009","0","20250228","20010810",3300,358000,"19721127","F","2","1","1",35800,2,"4",0,"1",2,28.75
"AD10000010","0","20210930","20010923",7100,680000,"19780111","M","2","1","2",NA,1,"4",0,"1",2,23.6666666666667
"AD10000011","1","20120630","20011002",1990,80000,"19830827","F","1","1","2",25400,0,"2",0,"1",2,20
"AD10000012","1","20191031","20011002",2400,2e+05,"19801201","M","1","1","1",25800,0,"2",0,"1",2,20.8333333333333
"AD10000013","1","20100331","20011004",3700,185000,"19610311","F","1","1","2",44700,0,"5",0,"1",8,40.5833333333333
"AD10000014","0","20180831","20011105",2520,2e+05,"19580906","M","2","1","2",32400,1,"4",0,"1",2,43.1666666666667
"AD10000015","0","20191130","20011117",11670,1e+06,"19670612","F","3","1","2",41500,0,"1",0,"1",2,34.4166666666667
"AD10000016","0","20220331","20011119",6170,620000,"19771205","F","2","1","3",41100,0,"3",0,"1",2,23.9166666666667
"AD10000017","1","20140831","20011202",23820,1200000,"19540316","M","2","1","2",NA,2,"3",0,"1",2,47.75
"AD10000018","0","20190331","20011208",3280,270000,"19741220","M","2","1","2",37100,0,"4",0,"1",3,27
"AD10000019","0","20150331","20020222",9900,5e+05,"19590416","M","2","1","2",47800,3,"1",0,"1",2,42.8333333333333
"AD10000020","0","20111031","20020305",2090,1e+05,"19720102","F","2","1","2",38100,0,"4",0,"1",2,30.1666666666667
"AD10000021","1","20140331","20020308",1500,70000,"19830404","F","1","1","1",NA,0,"1",0,"1",2,20
"AD10000022","0","20121008","20020308",1980,1e+05,"19670202","M","1","1","3",43500,0,"4",0,"1",2,35.0833333333333
"AD10000023","0","20181031","20020315",6500,5e+05,"19630423","M","2","1","2",45500,2,"3",0,"1",2,38.9166666666667
"AD10000024","0","20190430","20020318",4800,4e+05,"19701006","F","2","1","2",41100,2,"1",0,"1",7,31.4166666666667
"AD10000025","1","20190430","20020407",2200,180000,"19761004","F","2","1","2",NA,0,"5",0,"1",3,25.5
"AD10000026","0","20110831","20020420",3340,160000,"19551217","M","3","1","2",NA,0,"1",0,"1",2,46.3333333333333
"AD10000027","0","20190630","20020507",9400,8e+05,"19591215","M","1","1","2",NA,0,"4",0,"1",2,42.4166666666667
"AD10000028","0","20390831","20020517",3900,250000,"19650527","M","2","1","2",28100,0,"2",0,"1",2,37
"AD10000029","0","20190331","20020517",4560,380000,"19600213","F","1","1","2",37400,0,"4",0,"1",5,42.25
"AD10000030","0","20160930","20020517",3900,250000,"19591223","M","2","1","1",36100,3,"1",0,"1",2,42.4166666666667
"AD10000031","0","20110731","20020613",2500,120000,"19550901","M","2","1","2",44500,2,"2",0,"1",2,46.75
